customer_id,registration_date,country,age_group,customer_segment,acquisition_channel,loyalty_member,loyalty_join_date
CUS-00051,2026-04-05,Germany,25-34,High Value,Organic,False,
CUS-00052,2025-02-08,Poland,18-24,High Value,Paid Social,False,
CUS-00053,2024-03-31,Poland,18-24,New,Email,False,
CUS-00054,2025-02-17,Poland,18-24,New,Organic,False,
CUS-00055,2025-01-24,Poland,35-44,New,Paid Social,False,
CUS-00056,2024-06-12,Germany,45-54,Active,Email,True,2025-11-14
CUS-00057,2024-09-09,Poland,25-34,New,Paid Social,False,
CUS-00058,2026-06-18,Poland,35-44,Active,Organic,True,2026-07-19
CUS-00059,2023-11-10,Spain,18-24,At Risk,Referral,True,2026-06-13
CUS-00060,2026-04-04,United Kingdom,45-54,At Risk,Paid Social,False,
CUS-00061,2024-04-13,Germany,35-44,High Value,Email,True,2026-07-21
CUS-00062,2024-08-06,Germany,25-34,Active,Organic,True,2024-12-10
CUS-00063,2025-07-10,Poland,25-34,Active,Paid Search,False,
CUS-00064,2025-03-03,United Kingdom,25-34,Active,Email,True,2025-09-28
CUS-00065,2026-04-12,Poland,35-44,At Risk,Referral,False,
CUS-00066,2025-12-04,Germany,35-44,High Value,Organic,False,
CUS-00067,2024-06-28,United Kingdom,45-54,High Value,Organic,True,2025-12-11
CUS-00068,2024-12-07,United Kingdom,18-24,Active,Email,True,2025-01-19
CUS-00069,2024-07-12,United Kingdom,35-44,New,Referral,False,
CUS-00070,2023-09-10,Poland,35-44,High Value,Organic,False,
CUS-00071,2024-11-24,Germany,35-44,Active,Paid Search,True,2025-10-01
CUS-00072,2024-09-10,United Kingdom,35-44,Active,Paid Social,False,
CUS-00073,2023-11-02,Poland,18-24,At Risk,Paid Social,True,2024-09-24
CUS-00074,2025-12-20,United Kingdom,25-34,Active,Email,False,
CUS-00075,2024-11-22,Poland,25-34,High Value,Organic,True,2025-05-06
CUS-00076,2026-05-06,Poland,25-34,New,Referral,False,
CUS-00077,2025-09-05,United Kingdom,35-44,Active,Paid Search,False,
CUS-00078,2025-03-28,Spain,18-24,At Risk,Email,False,
CUS-00079,2026-04-16,Germany,35-44,Active,Organic,True,2026-07-14
CUS-00080,2024-02-29,Poland,35-44,Active,Paid Search,False,
CUS-00081,2024-09-06,United Kingdom,18-24,Active,Email,False,
CUS-00082,2024-02-24,United Kingdom,18-24,At Risk,Email,True,2025-03-13
CUS-00083,2025-12-11,Poland,55+,High Value,Organic,True,2026-07-08
CUS-00084,2024-09-03,United Kingdom,25-34,New,Email,False,
CUS-00085,2026-01-16,Poland,18-24,High Value,Paid Social,True,2026-04-09
CUS-00086,2026-01-14,United Kingdom,18-24,At Risk,Referral,True,2026-04-01
CUS-00087,2025-02-04,United Kingdom,45-54,At Risk,Organic,False,
CUS-00088,2024-06-27,Germany,45-54,New,Paid Social,False,
CUS-00089,2024-02-22,United Kingdom,25-34,At Risk,Organic,True,2026-04-23
CUS-00090,2025-08-27,Germany,18-24,High Value,Paid Social,False,
CUS-00091,2023-12-11,United Kingdom,25-34,New,Organic,False,
CUS-00092,2023-10-04,Germany,45-54,New,Paid Social,False,
CUS-00093,2024-01-09,Spain,25-34,Active,Paid Social,True,2024-09-02
CUS-00094,2026-03-23,Spain,18-24,High Value,Paid Social,True,2026-04-23
CUS-00095,2026-06-14,Poland,18-24,Active,Organic,False,
CUS-00096,2025-05-08,Germany,35-44,Active,Paid Search,False,
CUS-00097,2026-02-03,Germany,25-34,Active,Organic,True,2026-02-15
CUS-00098,2025-03-11,Poland,35-44,Active,Paid Social,False,
CUS-00099,2025-03-06,United Kingdom,25-34,High Value,Referral,True,2026-06-11
CUS-00100,2025-07-19,Germany,25-34,Active,Paid Social,False,
CUS-00101,2025-10-21,Spain,35-44,High Value,Paid Social,False,
CUS-00102,2024-08-16,United Kingdom,35-44,High Value,Organic,True,2025-10-19
CUS-00103,2023-08-09,Poland,25-34,New,Paid Search,False,
CUS-00104,2026-06-13,United Kingdom,18-24,New,Referral,False,
CUS-00105,2024-01-16,Poland,35-44,At Risk,Organic,False,
CUS-00106,2026-06-16,Spain,45-54,Active,Paid Search,False,
CUS-00107,2025-11-03,Poland,35-44,High Value,Organic,True,2026-02-14
CUS-00108,2026-04-13,Poland,25-34,New,Referral,False,
CUS-00109,2025-01-01,United Kingdom,55+,At Risk,Organic,False,
CUS-00110,2024-01-12,Poland,45-54,Active,Paid Search,True,2025-04-11
CUS-00111,2025-05-28,Poland,55+,Active,Organic,True,2025-09-27
CUS-00112,2025-06-26,Germany,35-44,New,Paid Search,False,
CUS-00113,2023-07-28,United Kingdom,35-44,New,Paid Social,False,
CUS-00114,2024-09-04,Poland,25-34,High Value,Paid Social,False,
CUS-00115,2025-09-07,Germany,45-54,Active,Email,False,
CUS-00116,2024-04-25,Germany,45-54,Active,Paid Search,False,
CUS-00117,2025-09-18,Poland,25-34,Active,Email,False,
CUS-00118,2024-01-04,Poland,25-34,Active,Organic,True,2025-04-11
CUS-00119,2026-04-10,Poland,35-44,At Risk,Organic,False,
CUS-00120,2025-09-18,Germany,55+,Active,Paid Social,False,
CUS-00121,2026-02-23,Spain,45-54,Active,Email,False,
CUS-00122,2024-05-26,Poland,45-54,High Value,Paid Search,False,
CUS-00123,2024-03-16,Spain,55+,Active,Organic,False,
CUS-00124,2025-02-22,Poland,18-24,High Value,Organic,True,2025-06-27
CUS-00125,2025-11-06,Spain,35-44,High Value,Email,True,2026-05-30
CUS-00126,2023-07-23,Poland,35-44,Active,Referral,False,
CUS-00127,2026-02-07,Poland,25-34,At Risk,Organic,False,
CUS-00128,2024-12-07,United Kingdom,45-54,New,Email,False,
CUS-00129,2025-08-20,Poland,25-34,High Value,Paid Social,False,
CUS-00130,2023-08-22,Germany,35-44,At Risk,Organic,True,2024-02-11
CUS-00131,2025-02-05,United Kingdom,25-34,Active,Email,False,
CUS-00132,2024-11-11,Poland,35-44,Active,Paid Search,False,
CUS-00133,2024-07-28,Poland,18-24,Active,Paid Search,False,
CUS-00134,2023-10-20,Spain,25-34,High Value,Paid Search,False,
CUS-00135,2024-07-31,Spain,45-54,New,Paid Social,False,
CUS-00136,2025-12-20,Germany,18-24,Active,Paid Search,False,
CUS-00137,2023-11-22,Poland,35-44,New,Paid Social,False,
CUS-00138,2023-12-03,Spain,45-54,Active,Paid Social,False,
CUS-00139,2025-08-15,Poland,25-34,Active,Email,False,
CUS-00140,2023-11-07,Germany,35-44,Active,Organic,False,
CUS-00141,2025-10-27,Poland,45-54,New,Organic,False,
CUS-00142,2024-02-03,United Kingdom,25-34,Active,Paid Search,False,
CUS-00143,2024-02-07,United Kingdom,55+,At Risk,Referral,False,
CUS-00144,2026-05-12,Poland,35-44,New,Email,False,
CUS-00145,2025-07-30,Poland,55+,Active,Organic,False,
CUS-00146,2025-11-23,Poland,35-44,New,Paid Social,False,
CUS-00147,2024-04-04,Poland,25-34,Active,Organic,True,2025-05-20
CUS-00148,2025-10-19,Poland,25-34,High Value,Paid Search,True,2026-06-11
CUS-00149,2025-05-10,Spain,18-24,New,Paid Social,False,
CUS-00150,2024-06-16,Poland,45-54,Active,Referral,True,2026-06-07
CUS-00151,2025-11-06,Poland,35-44,Active,Paid Social,True,2026-01-23
CUS-00152,2024-11-18,Spain,18-24,New,Paid Search,False,
CUS-00153,2025-04-02,Poland,18-24,High Value,Email,True,2026-01-17
CUS-00154,2025-06-02,Poland,18-24,New,Paid Social,False,
CUS-00155,2025-10-04,Germany,45-54,New,Organic,False,
CUS-00156,2025-06-23,Poland,45-54,At Risk,Email,False,
CUS-00157,2024-01-26,Germany,35-44,Active,Email,False,
CUS-00158,2024-08-11,Poland,45-54,Active,Paid Social,False,
CUS-00159,2024-07-06,Poland,18-24,New,Organic,False,
CUS-00160,2023-10-30,Poland,45-54,Active,Referral,True,2025-04-07
CUS-00161,2023-08-24,Spain,35-44,High Value,Organic,True,2026-02-22
CUS-00162,2025-11-29,Poland,35-44,New,Email,False,
CUS-00163,2024-07-14,Spain,35-44,New,Organic,True,2025-10-14
CUS-00164,2024-06-29,Germany,35-44,At Risk,Organic,False,
CUS-00165,2023-08-03,Poland,35-44,New,Referral,False,
CUS-00166,2023-11-10,Poland,45-54,New,Organic,False,
CUS-00167,2026-03-29,Poland,35-44,Active,Referral,False,
CUS-00168,2023-10-22,Spain,25-34,Active,Paid Social,False,
CUS-00169,2024-07-12,Germany,25-34,New,Organic,False,
CUS-00170,2023-11-04,United Kingdom,18-24,At Risk,Email,False,
CUS-00171,2023-09-09,Spain,55+,New,Organic,False,
CUS-00172,2024-12-17,Spain,25-34,Active,Paid Social,False,
CUS-00173,2023-11-10,United Kingdom,35-44,High Value,Organic,True,2026-01-16
CUS-00174,2024-07-26,United Kingdom,18-24,At Risk,Organic,False,
CUS-00175,2024-09-27,Spain,25-34,High Value,Referral,True,2026-02-28
CUS-00176,2025-08-15,Poland,35-44,At Risk,Paid Social,False,
CUS-00177,2024-06-19,Spain,35-44,Active,Organic,False,
CUS-00178,2025-11-06,Poland,25-34,Active,Paid Social,True,2025-12-27
CUS-00179,2025-12-26,Poland,18-24,Active,Referral,False,
CUS-00180,2026-01-03,Poland,25-34,At Risk,Paid Social,True,2026-07-05
CUS-00181,2024-08-03,Poland,35-44,Active,Email,True,2026-04-04
CUS-00182,2025-07-26,Poland,25-34,High Value,Organic,True,2026-06-04
CUS-00183,2025-04-15,Spain,55+,High Value,Email,False,
CUS-00184,2024-05-13,Poland,25-34,At Risk,Paid Social,True,2024-10-06
CUS-00185,2023-12-20,Germany,35-44,New,Organic,False,
CUS-00186,2026-05-11,Spain,35-44,Active,Referral,True,2026-06-21
CUS-00187,2025-01-23,Poland,45-54,Active,Referral,True,2025-12-18
CUS-00188,2025-04-21,Poland,55+,New,Organic,False,
CUS-00189,2025-07-17,Poland,25-34,Active,Paid Search,False,
CUS-00190,2023-10-15,Spain,45-54,New,Paid Search,False,
CUS-00191,2026-06-03,Poland,25-34,Active,Email,True,2026-06-12
CUS-00192,2023-10-25,Germany,35-44,At Risk,Paid Social,False,
CUS-00193,2025-04-08,Poland,18-24,Active,Email,False,
CUS-00194,2024-12-31,Poland,35-44,Active,Organic,False,
CUS-00195,2024-01-08,Poland,55+,Active,Paid Search,True,2025-01-28
CUS-00196,2024-05-15,Poland,35-44,Active,Organic,False,
CUS-00197,2024-05-13,United Kingdom,35-44,At Risk,Organic,False,
CUS-00198,2025-11-02,Poland,25-34,At Risk,Referral,False,
CUS-00199,2025-06-18,United Kingdom,25-34,Active,Email,False,
CUS-00200,2024-02-25,Poland,55+,Active,Organic,False,
CUS-00201,2025-05-08,Poland,25-34,New,Paid Social,False,
CUS-00202,2024-05-03,Poland,45-54,Active,Paid Search,False,
CUS-00203,2024-09-27,Germany,55+,High Value,Paid Search,True,2025-09-21
CUS-00204,2024-08-14,United Kingdom,18-24,New,Paid Search,False,
CUS-00205,2023-11-17,Spain,35-44,At Risk,Paid Social,False,
CUS-00206,2025-06-10,Poland,45-54,Active,Paid Search,False,
CUS-00207,2025-11-23,Germany,55+,Active,Paid Search,False,
CUS-00208,2023-12-22,Poland,25-34,Active,Organic,True,2024-03-09
CUS-00209,2026-05-01,United Kingdom,35-44,New,Organic,False,
CUS-00210,2025-11-08,United Kingdom,45-54,Active,Organic,True,2025-11-13
CUS-00211,2023-12-14,Poland,18-24,High Value,Organic,True,2024-12-15
CUS-00212,2024-04-06,Poland,35-44,High Value,Referral,False,
CUS-00213,2025-04-14,Poland,35-44,At Risk,Paid Search,False,
CUS-00214,2025-08-15,United Kingdom,18-24,At Risk,Paid Search,False,
CUS-00215,2025-08-08,Poland,55+,At Risk,Email,False,
CUS-00216,2024-06-19,Germany,35-44,Active,Paid Search,False,
CUS-00217,2025-04-05,Spain,45-54,New,Email,False,
CUS-00218,2023-10-22,United Kingdom,35-44,High Value,Paid Search,False,
CUS-00219,2024-04-03,Poland,25-34,New,Paid Social,False,
CUS-00220,2025-03-02,United Kingdom,45-54,Active,Organic,True,2025-03-03
CUS-00221,2025-03-20,United Kingdom,45-54,New,Organic,False,
CUS-00222,2024-09-06,Poland,55+,High Value,Organic,True,2026-05-08
CUS-00223,2025-06-28,Germany,55+,New,Email,False,
CUS-00224,2024-10-08,United Kingdom,25-34,New,Email,False,
CUS-00225,2025-05-10,United Kingdom,25-34,High Value,Paid Search,True,2026-07-15
CUS-00226,2026-05-16,United Kingdom,35-44,Active,Email,False,
CUS-00227,2025-08-17,Poland,45-54,At Risk,Email,False,
CUS-00228,2024-03-19,Poland,18-24,Active,Paid Social,False,
CUS-00229,2024-05-12,United Kingdom,45-54,Active,Paid Search,False,
CUS-00230,2024-10-25,United Kingdom,35-44,Active,Email,False,
CUS-00231,2024-06-25,Poland,25-34,New,Paid Social,False,
CUS-00232,2023-10-21,Poland,25-34,New,Referral,True,2026-04-07
CUS-00233,2025-11-11,United Kingdom,25-34,New,Organic,False,
CUS-00234,2023-10-25,Germany,45-54,At Risk,Organic,False,
CUS-00235,2024-11-21,Poland,45-54,Active,Paid Social,False,
CUS-00236,2023-10-19,Poland,25-34,High Value,Organic,True,2024-01-04
CUS-00237,2026-01-15,Poland,25-34,High Value,Organic,True,2026-04-17
CUS-00238,2025-09-11,Spain,18-24,At Risk,Paid Social,False,
CUS-00239,2025-10-25,Spain,55+,Active,Email,True,2025-12-25
CUS-00240,2023-10-19,United Kingdom,25-34,New,Referral,False,
CUS-00241,2025-09-18,United Kingdom,45-54,Active,Organic,False,
CUS-00242,2023-11-24,Germany,25-34,New,Paid Search,False,
CUS-00243,2024-05-06,Germany,25-34,High Value,Organic,False,
CUS-00244,2023-11-06,Germany,35-44,Active,Organic,True,2026-05-18
CUS-00245,2023-11-05,Spain,35-44,New,Organic,False,
CUS-00246,2026-06-05,Germany,55+,At Risk,Organic,False,
CUS-00247,2024-07-22,Poland,35-44,New,Organic,False,
CUS-00248,2025-04-10,Poland,25-34,New,Organic,False,
CUS-00249,2024-01-25,Poland,18-24,At Risk,Paid Search,False,
CUS-00250,2025-12-23,Poland,55+,Active,Email,False,
CUS-00251,2024-08-08,Poland,35-44,New,Organic,False,
CUS-00252,2026-01-07,United Kingdom,35-44,At Risk,Email,False,
CUS-00253,2026-01-31,Poland,55+,New,Paid Social,False,
CUS-00254,2023-09-22,Spain,35-44,At Risk,Paid Search,True,2026-05-11
CUS-00255,2023-11-27,Poland,35-44,At Risk,Organic,False,
CUS-00256,2025-05-04,Poland,45-54,Active,Paid Social,True,2026-07-17
CUS-00257,2025-10-12,Poland,35-44,Active,Email,False,
CUS-00258,2024-11-25,Poland,35-44,At Risk,Paid Social,False,
CUS-00259,2024-08-31,Germany,25-34,Active,Paid Search,False,
CUS-00260,2024-06-04,Poland,45-54,Active,Paid Search,True,2025-10-05
CUS-00261,2024-07-27,United Kingdom,25-34,New,Referral,False,
CUS-00262,2024-09-07,United Kingdom,18-24,At Risk,Email,False,
CUS-00263,2025-03-28,Germany,18-24,Active,Organic,False,
CUS-00264,2024-02-11,Poland,45-54,High Value,Email,True,2025-05-22
CUS-00265,2025-07-02,Poland,45-54,Active,Paid Search,False,
CUS-00266,2024-11-25,Germany,25-34,At Risk,Organic,False,
CUS-00267,2023-11-12,Germany,55+,High Value,Email,True,2023-11-26
CUS-00268,2025-07-03,Germany,45-54,At Risk,Paid Search,True,2026-03-01
CUS-00269,2025-12-13,Germany,35-44,New,Email,False,
CUS-00270,2023-12-25,Poland,25-34,Active,Organic,False,
CUS-00271,2023-11-13,Poland,25-34,High Value,Email,False,
CUS-00272,2025-11-04,Germany,35-44,New,Organic,False,
CUS-00273,2024-06-18,Germany,18-24,High Value,Paid Search,True,2025-07-15
CUS-00274,2024-09-06,Poland,25-34,Active,Paid Search,True,2024-12-17
CUS-00275,2025-01-15,Poland,45-54,New,Email,False,
CUS-00276,2023-11-06,Spain,35-44,New,Paid Search,False,
CUS-00277,2024-08-05,Germany,55+,Active,Email,True,2025-05-19
CUS-00278,2024-10-07,Poland,55+,New,Organic,False,
CUS-00279,2024-03-24,Poland,18-24,At Risk,Referral,False,
CUS-00280,2025-06-02,Spain,35-44,New,Paid Search,False,
CUS-00281,2025-11-12,Spain,25-34,Active,Organic,True,2026-03-09
CUS-00282,2026-02-27,Poland,45-54,Active,Referral,False,
CUS-00283,2026-05-03,United Kingdom,55+,At Risk,Organic,False,
CUS-00284,2025-10-21,Germany,55+,High Value,Email,True,2025-10-24
CUS-00285,2026-05-25,Germany,25-34,High Value,Paid Search,True,2026-07-17
CUS-00286,2024-10-30,Poland,45-54,Active,Paid Search,True,2026-03-29
CUS-00287,2023-12-30,Poland,25-34,At Risk,Organic,False,
CUS-00288,2024-02-16,Germany,55+,At Risk,Email,True,2025-04-01
CUS-00289,2024-01-18,Poland,18-24,New,Organic,True,2024-07-02
CUS-00290,2025-11-28,Germany,35-44,Active,Organic,False,
CUS-00291,2024-03-20,Spain,55+,At Risk,Paid Search,False,
CUS-00292,2024-09-18,Poland,55+,New,Paid Search,False,
CUS-00293,2024-10-02,Poland,25-34,High Value,Paid Social,True,2026-01-14
CUS-00294,2024-06-14,Poland,45-54,High Value,Organic,True,2025-12-23
CUS-00295,2025-01-05,Poland,35-44,At Risk,Paid Social,True,2025-06-12
CUS-00296,2026-04-03,Spain,35-44,Active,Paid Search,False,
CUS-00297,2024-09-05,Germany,25-34,Active,Paid Social,True,2025-10-02
CUS-00298,2025-08-19,Germany,55+,New,Paid Search,False,
CUS-00299,2024-08-16,Germany,45-54,New,Paid Search,False,
CUS-00300,2023-10-09,Germany,25-34,Active,Paid Social,False,
CUS-00301,2023-12-13,Poland,25-34,High Value,Referral,False,
CUS-00302,2026-04-03,Germany,25-34,Active,Referral,False,
CUS-00303,2025-05-11,Germany,45-54,New,Email,False,
CUS-00304,2024-09-24,Spain,25-34,Active,Organic,True,2024-10-28
CUS-00305,2023-07-28,Spain,45-54,Active,Referral,False,
CUS-00306,2024-12-22,Germany,18-24,New,Organic,False,
CUS-00307,2024-02-11,Germany,45-54,Active,Organic,True,2025-03-23
CUS-00308,2024-03-30,United Kingdom,45-54,Active,Paid Search,False,
CUS-00309,2025-06-08,Poland,25-34,At Risk,Paid Search,True,2026-05-06
CUS-00310,2025-12-10,United Kingdom,25-34,Active,Organic,True,2025-12-13
CUS-00311,2024-01-12,Poland,25-34,New,Organic,False,
CUS-00312,2023-11-16,Germany,35-44,High Value,Email,False,
CUS-00313,2024-03-10,Spain,55+,At Risk,Referral,False,
CUS-00314,2025-11-16,Poland,35-44,Active,Paid Search,True,2025-11-29
CUS-00315,2025-02-15,Germany,45-54,Active,Organic,False,
CUS-00316,2026-01-12,United Kingdom,55+,New,Email,False,
CUS-00317,2025-11-27,Poland,25-34,At Risk,Paid Social,False,
CUS-00318,2024-03-09,Germany,25-34,At Risk,Organic,False,
CUS-00319,2025-05-20,Spain,25-34,New,Referral,True,2025-08-26
CUS-00320,2023-09-25,Poland,45-54,High Value,Organic,True,2025-01-15
CUS-00321,2025-02-08,United Kingdom,45-54,At Risk,Organic,True,2025-03-10
CUS-00322,2025-01-28,Poland,25-34,Active,Paid Search,False,
CUS-00323,2024-06-13,United Kingdom,25-34,Active,Referral,False,
CUS-00324,2026-06-16,Germany,55+,New,Organic,True,2026-06-28
CUS-00325,2026-05-24,United Kingdom,18-24,New,Paid Search,False,
CUS-00326,2023-12-29,Poland,25-34,High Value,Paid Search,True,2025-06-30
CUS-00327,2025-12-08,Germany,35-44,Active,Email,False,
CUS-00328,2025-04-14,Spain,25-34,Active,Referral,False,
CUS-00329,2026-03-13,Germany,25-34,High Value,Organic,True,2026-04-12
CUS-00330,2024-07-24,United Kingdom,55+,Active,Referral,True,2026-05-26
CUS-00331,2024-03-31,Poland,18-24,Active,Email,True,2024-12-31
CUS-00332,2025-04-23,United Kingdom,25-34,Active,Organic,True,2025-05-12
CUS-00333,2024-04-26,United Kingdom,25-34,New,Email,False,
CUS-00334,2024-12-20,Poland,18-24,At Risk,Email,False,
CUS-00335,2025-04-22,United Kingdom,18-24,Active,Referral,False,
CUS-00336,2026-05-28,Poland,45-54,At Risk,Paid Social,False,
CUS-00337,2024-08-11,United Kingdom,25-34,High Value,Organic,False,
CUS-00338,2024-09-09,Germany,35-44,New,Paid Search,False,
CUS-00339,2024-03-26,Poland,45-54,High Value,Paid Social,False,
CUS-00340,2024-01-06,United Kingdom,55+,Active,Referral,True,2025-08-22
CUS-00341,2023-09-21,Poland,35-44,At Risk,Paid Search,False,
CUS-00342,2025-07-23,Poland,45-54,At Risk,Organic,True,2025-10-17
CUS-00343,2024-05-28,Spain,55+,High Value,Paid Search,True,2026-05-13
CUS-00344,2025-01-16,Germany,35-44,High Value,Referral,True,2025-09-10
CUS-00345,2024-07-10,United Kingdom,35-44,New,Paid Search,False,
CUS-00346,2024-07-03,Spain,18-24,New,Paid Search,False,
CUS-00347,2023-08-28,United Kingdom,25-34,At Risk,Email,True,2026-06-18
CUS-00348,2024-05-18,Poland,35-44,High Value,Referral,False,
CUS-00349,2025-04-01,Poland,55+,New,Referral,False,
CUS-00350,2024-12-13,Germany,35-44,Active,Paid Search,False,
CUS-00351,2024-09-27,Spain,45-54,Active,Paid Search,True,2024-11-19
CUS-00352,2024-09-28,Spain,55+,Active,Email,True,2025-06-27
CUS-00353,2026-04-14,Poland,18-24,Active,Organic,True,2026-07-21
CUS-00354,2025-04-03,Poland,18-24,New,Referral,False,
CUS-00355,2026-06-12,Germany,55+,Active,Paid Social,False,
CUS-00356,2025-11-01,Poland,25-34,Active,Paid Search,False,
CUS-00357,2024-12-18,Poland,25-34,New,Organic,False,
CUS-00358,2023-09-03,United Kingdom,45-54,At Risk,Organic,False,
CUS-00359,2024-01-18,Poland,35-44,High Value,Email,True,2025-02-26
CUS-00360,2024-04-25,Poland,35-44,Active,Paid Social,False,
CUS-00361,2026-01-09,Poland,35-44,Active,Paid Social,False,
CUS-00362,2024-09-07,Poland,25-34,High Value,Organic,True,2024-10-06
CUS-00363,2024-01-07,United Kingdom,25-34,New,Referral,False,
CUS-00364,2026-02-03,Germany,35-44,Active,Paid Social,False,
CUS-00365,2025-05-28,Germany,35-44,At Risk,Referral,False,
CUS-00366,2025-01-10,Germany,55+,New,Paid Search,False,
CUS-00367,2024-11-21,Germany,25-34,Active,Organic,False,
CUS-00368,2025-05-30,Poland,45-54,New,Referral,True,2026-07-01
CUS-00369,2024-01-18,Poland,55+,New,Organic,False,
CUS-00370,2025-03-12,Germany,25-34,Active,Referral,True,2026-06-02
CUS-00371,2024-05-13,Germany,45-54,New,Referral,False,
CUS-00372,2024-08-21,Poland,25-34,At Risk,Organic,True,2024-09-24
CUS-00373,2025-05-30,Spain,35-44,Active,Paid Social,False,
CUS-00374,2023-07-25,Poland,35-44,At Risk,Referral,False,
CUS-00375,2025-10-07,Spain,55+,Active,Email,False,
CUS-00376,2025-11-05,Poland,35-44,High Value,Paid Social,True,2026-01-20
CUS-00377,2025-02-07,Poland,45-54,Active,Paid Search,False,
CUS-00378,2025-05-22,Poland,45-54,Active,Paid Search,True,2025-07-15
CUS-00379,2026-05-19,Germany,18-24,New,Paid Search,False,
CUS-00380,2024-12-16,Poland,18-24,New,Organic,False,
CUS-00381,2026-03-17,United Kingdom,25-34,Active,Paid Social,True,2026-05-16
CUS-00382,2026-05-18,Poland,45-54,Active,Email,False,
CUS-00383,2024-02-01,Spain,35-44,New,Organic,False,
CUS-00384,2024-10-31,United Kingdom,35-44,New,Email,False,
CUS-00385,2025-09-17,Germany,25-34,Active,Organic,True,2026-01-15
CUS-00386,2026-05-23,United Kingdom,18-24,New,Paid Search,False,
CUS-00387,2025-04-17,United Kingdom,45-54,Active,Referral,False,
CUS-00388,2024-12-10,Germany,25-34,New,Organic,False,
CUS-00389,2025-04-08,Poland,25-34,New,Referral,False,
CUS-00390,2024-10-24,Spain,18-24,At Risk,Email,True,2025-12-28
CUS-00391,2024-02-05,United Kingdom,55+,At Risk,Email,True,2024-11-29
CUS-00392,2025-05-06,Poland,45-54,At Risk,Paid Social,False,
CUS-00393,2026-05-20,Germany,25-34,Active,Referral,False,
